2018-12-13 14:35:12,475 | Minor FoodIT | INFO | Aloha version 12.3
2018-12-13 14:35:12,475 | Minor FoodIT | INFO | Exporting data to E:\Aloha\BK_NEWDATA\EMP.DBF
2018-12-13 14:35:17,300 | Minor FoodIT | INFO | Record updated ,ID=332115
2018-12-13 14:35:17,518 | Minor FoodIT | INFO | Record updated ,ID=332120
2018-12-13 14:35:17,774 | Minor FoodIT | INFO | Record updated ,ID=332122
2018-12-13 14:35:18,284 | Minor FoodIT | INFO | Record updated ,ID=333606
2018-12-13 14:35:18,446 | Minor FoodIT | INFO | Record updated ,ID=333607
2018-12-13 14:35:18,615 | Minor FoodIT | INFO | Record updated ,ID=333608
2018-12-13 14:35:19,101 | Minor FoodIT | INFO | Record updated ,ID=333610
2018-12-13 14:35:19,264 | Minor FoodIT | INFO | Record updated ,ID=333611
2018-12-13 14:35:19,449 | Minor FoodIT | INFO | Record updated ,ID=333612
2018-12-13 14:35:19,611 | Minor FoodIT | INFO | hasNewRecordCreated is False
2018-12-13 14:35:21,807 | Minor FoodIT | INFO | Finished
2018-12-13 14:36:28,850 | Minor FoodIT | INFO | ############# Start Running
2018-12-13 14:36:28,850 | Minor FoodIT | INFO | Load configuration file config.ini
2018-12-13 14:36:28,851 | Minor FoodIT | INFO | MunuLink version 12.0
2018-12-13 14:36:28,851 | Minor FoodIT | INFO | Aloha version 12.3
2018-12-13 14:36:28,851 | Minor FoodIT | INFO | Exporting data to E:\Aloha\BK_NEWDATA\EMP.DBF
2018-12-13 14:53:37,846 | Minor FoodIT | INFO | ############# Start Running
2018-12-13 14:53:37,847 | Minor FoodIT | INFO | Load configuration file config.ini
2018-12-13 14:53:37,847 | Minor FoodIT | INFO | MunuLink version 12.0
2018-12-13 14:53:37,848 | Minor FoodIT | INFO | Aloha version 12.3
2018-12-13 14:53:37,848 | Minor FoodIT | INFO | Exporting data to E:\Aloha\BK_NEWDATA\EMP.DBF
2018-12-13 14:53:37,848 | Minor FoodIT | INFO | The DBF File is not found
2018-12-13 14:58:24,096 | Minor FoodIT | INFO | ############# Start Running
2018-12-13 14:58:24,096 | Minor FoodIT | INFO | Load configuration file config.ini
2018-12-13 14:58:24,097 | Minor FoodIT | INFO | MunuLink version 12.0
2018-12-13 14:58:24,097 | Minor FoodIT | INFO | Aloha version 12.3
2018-12-13 14:58:24,097 | Minor FoodIT | INFO | Exporting data to E:\Aloha\BK_NEWDATA\EMP.DBF
2018-12-13 14:58:40,926 | Minor FoodIT | INFO | ############# Start Running
2018-12-13 14:58:40,927 | Minor FoodIT | INFO | Load configuration file config.ini
2018-12-13 14:58:40,928 | Minor FoodIT | INFO | MunuLink version 12.0
2018-12-13 14:58:40,928 | Minor FoodIT | INFO | Aloha version 12.3
2018-12-13 14:58:40,928 | Minor FoodIT | INFO | Exporting data to E:\Aloha\BK_NEWDATA\EMP.DBF
2018-12-13 14:59:06,405 | Minor FoodIT | INFO | Record updated ,ID=332115
2018-12-13 14:59:06,622 | Minor FoodIT | INFO | Record updated ,ID=332120
2018-12-13 14:59:06,835 | Minor FoodIT | INFO | Record updated ,ID=332122
2018-12-13 14:59:07,070 | Minor FoodIT | INFO | Record updated ,ID=333606
2018-12-13 14:59:07,344 | Minor FoodIT | INFO | Record updated ,ID=333607
2018-12-13 14:59:07,599 | Minor FoodIT | INFO | Record updated ,ID=333608
2018-12-13 14:59:07,839 | Minor FoodIT | INFO | Record updated ,ID=333610
2018-12-13 14:59:07,995 | Minor FoodIT | INFO | Record updated ,ID=333611
2018-12-13 14:59:08,226 | Minor FoodIT | INFO | Record updated ,ID=333612
2018-12-13 14:59:08,364 | Minor FoodIT | INFO | hasNewRecordCreated is False
2018-12-13 14:59:12,822 | Minor FoodIT | INFO | Finished
2018-12-13 15:05:07,488 | Minor FoodIT | INFO | ############# Start Running
2018-12-13 15:05:07,488 | Minor FoodIT | INFO | Load configuration file config.ini
2018-12-13 15:05:07,489 | Minor FoodIT | INFO | MunuLink version 12.0
2018-12-13 15:05:07,489 | Minor FoodIT | INFO | Aloha version 12.3
2018-12-13 15:05:07,490 | Minor FoodIT | INFO | Exporting data to E:\Aloha\BK_NEWDATA\EMP.DBF
2018-12-13 15:05:09,751 | Minor FoodIT | INFO | Record updated ,ID=332115
2018-12-13 15:05:10,092 | Minor FoodIT | INFO | Record updated ,ID=332120
2018-12-13 15:05:10,384 | Minor FoodIT | INFO | Record updated ,ID=332122
2018-12-13 15:05:10,603 | Minor FoodIT | INFO | Record updated ,ID=333606
2018-12-13 15:05:10,956 | Minor FoodIT | INFO | Record updated ,ID=333607
2018-12-13 15:05:11,264 | Minor FoodIT | INFO | Record updated ,ID=333608
2018-12-13 15:05:11,600 | Minor FoodIT | INFO | Record updated ,ID=333610
2018-12-13 15:05:12,047 | Minor FoodIT | INFO | Record updated ,ID=333611
2018-12-13 15:05:12,214 | Minor FoodIT | INFO | Record updated ,ID=333612
2018-12-13 15:05:12,469 | Minor FoodIT | INFO | hasNewRecordCreated is False
2018-12-13 15:05:26,627 | Minor FoodIT | INFO | Finished
2018-12-13 15:05:56,772 | Minor FoodIT | INFO | ############# Start Running
2018-12-13 15:05:56,772 | Minor FoodIT | INFO | Load configuration file config.ini
2018-12-13 15:05:56,773 | Minor FoodIT | INFO | MunuLink version 12.0
2018-12-13 15:05:56,773 | Minor FoodIT | INFO | Aloha version 12.3
2018-12-13 15:05:56,773 | Minor FoodIT | INFO | Exporting data to E:\Aloha\BK_NEWDATA\EMP.DBF
2018-12-13 15:05:59,599 | Minor FoodIT | INFO | Record updated ,ID=332115
2018-12-13 15:06:00,195 | Minor FoodIT | INFO | Record updated ,ID=332120
2018-12-13 15:06:00,875 | Minor FoodIT | INFO | Record updated ,ID=332122
2018-12-13 15:06:01,241 | Minor FoodIT | INFO | Record updated ,ID=333606
2018-12-13 15:06:01,528 | Minor FoodIT | INFO | Record updated ,ID=333607
2018-12-13 15:06:02,049 | Minor FoodIT | INFO | Record updated ,ID=333608
2018-12-13 15:06:02,222 | Minor FoodIT | INFO | Record updated ,ID=333610
2018-12-13 15:06:02,433 | Minor FoodIT | INFO | Record updated ,ID=333611
2018-12-13 15:06:02,602 | Minor FoodIT | INFO | Record updated ,ID=333612
2018-12-13 15:06:02,824 | Minor FoodIT | INFO | hasNewRecordCreated is False
2018-12-13 15:06:32,444 | Minor FoodIT | INFO | Finished
2018-12-13 15:06:46,116 | Minor FoodIT | INFO | ############# Start Running
2018-12-13 15:06:46,117 | Minor FoodIT | INFO | Load configuration file config.ini
2018-12-13 15:06:46,118 | Minor FoodIT | INFO | MunuLink version 12.0
2018-12-13 15:06:46,118 | Minor FoodIT | INFO | Aloha version 12.3
2018-12-13 15:06:46,119 | Minor FoodIT | INFO | Exporting data to E:\Aloha\BK_NEWDATA\EMP.DBF
2018-12-13 15:06:53,555 | Minor FoodIT | INFO | Record updated ,ID=332115
2018-12-13 15:06:54,189 | Minor FoodIT | INFO | Record updated ,ID=332120
2018-12-13 15:06:54,496 | Minor FoodIT | INFO | Record updated ,ID=332122
2018-12-13 15:06:54,926 | Minor FoodIT | INFO | Record updated ,ID=333606
2018-12-13 15:06:55,918 | Minor FoodIT | INFO | Record updated ,ID=333607
2018-12-13 15:06:56,192 | Minor FoodIT | INFO | Record updated ,ID=333608
2018-12-13 15:06:56,368 | Minor FoodIT | INFO | Record updated ,ID=333610
2018-12-13 15:06:57,122 | Minor FoodIT | INFO | Record updated ,ID=333611
2018-12-13 15:06:57,315 | Minor FoodIT | INFO | Record updated ,ID=333612
2018-12-13 15:06:57,568 | Minor FoodIT | INFO | hasNewRecordCreated is False
2018-12-13 15:07:02,803 | Minor FoodIT | INFO | Finished
